content,score,at,app
"Very very poor optimisation, even on flagship phone can be slow and lagging, not sure how you can develop such a lousy apps when you already charged seller high fees for so called experience improvement, Lazada and TikTok Shop app is better",1,2025-08-08 01:41:03,Shopee
Excellent and very good application for all purposes. Thank you to Shopee for giving a lot of credit to buy many things,5,2025-08-08 01:28:20,Shopee
"why is it so hard to update affiliate data. I've tried many times and still can't. The first time was 3 years ago, it was easy. This is getting more complicated. It's really hard to press. Shopee's system is very slow. It's hard to press to edit. Please, Shopee, upgrade the system like tiktok, don't be weak, many customers will move to other places. Shopee has changed a lot, it's not like it was 3 years ago, it's really good. It's easy to buy things, there are no hidden prices. Please fix it",1,2025-08-08 01:21:43,Shopee
"货品实惠和性价比高, 缺点是送货上门实在墨迹了, 没有专业快递公司设定下午五点前送货, 发货app不停地发信息, 却不确定送货时间, 买了四件各自不同的买家货品, 货品是非常满意, 只是没有比LAZADA快递专业, 更不用对比Mcdonald快递的实时送货行程报告那么先进和专业。",3,2025-08-08 00:20:16,Shopee
buka app lain / main game sibuk je nak iklan shoppe,1,2025-08-07 23:10:34,Shopee
good,5,2025-08-07 22:54:14,Shopee
"shopee makin hari makin tamak,goodbye lh pegi pindah apps sebelah.",1,2025-08-07 18:02:15,Shopee
Ok. Good,5,2025-08-07 17:19:42,Shopee
Good,4,2025-08-07 17:13:46,Shopee
my favorite shops,5,2025-08-07 17:06:03,Shopee
its been a very enjoyable shopping platform for me when doing my daughter's and son's wedding for two consecutive years.tq shoppe for being so helpful and i can easily find the products i want and they are really relatively cheaper than other places.,5,2025-08-07 16:57:50,Shopee
very good,5,2025-08-07 16:32:28,Shopee
safe & easy to purchases,5,2025-08-07 16:30:32,Shopee
"penghantaran lbh dri tarikh yg SEPATUTNYA, pihak shopee cakap kalau lmbt sehari dri tarikh penghantaran dpt voucher tp x dpt pn...mmg failed shopee👎🏻",1,2025-08-07 16:17:47,Shopee
really love this apps.. easy to use and so many things can buy here,5,2025-08-07 16:13:30,Shopee
Good very good,5,2025-08-07 15:16:33,Shopee
